RowNumber,FieldName,ErrorCode,Message
0,"ExpectedInboundKg","INBOUND_TOTAL_MISMATCH","Manifest expects 106,709.1000 kg; calculated total is 0.0000 kg."
1,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
1,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
1,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
1,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
2,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
2,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
2,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
2,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
3,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
3,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
3,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
3,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
4,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
4,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
4,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
4,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
5,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
5,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
5,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
5,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
6,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
6,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
6,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
6,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
7,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
7,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
7,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
7,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
8,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
8,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
8,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
8,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
9,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
9,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
9,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
9,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
10,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
10,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
10,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
10,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
11,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
11,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
11,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
11,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
12,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
12,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
12,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
12,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
13,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
13,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
13,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
13,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
14,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
14,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
14,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
14,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
15,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
15,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
15,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
15,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
16,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
16,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
16,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
16,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
17,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
17,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
17,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
17,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
18,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
18,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
18,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
18,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
19,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
19,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
